,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
83,fuyang,100,CN,1579657753,78,32.9,115.82,43.95,2.15
84,sinnamary,100,GF,1579657753,78,5.38,-52.95,78.42,14.9
85,hilo,40,US,1579657753,54,19.73,-155.09,80.6,13.87
87,alice springs,90,US,1579657562,59,27.75,-98.07,62.6,9.17
88,nishihara,75,JP,1579657753,64,26.18,127.76,69.8,8.05
89,baiyin,36,CN,1579657754,84,36.56,104.21,35.01,6.71
90,kushmurun,92,KZ,1579657754,93,52.45,64.63,11.98,14.05
91,santa maria,0,PH,1579657754,47,17.49,120.43,81.19,3.49
93,alekseyevskoye,90,RU,1579657754,98,55.31,50.11,32.0,11.18
94,batagay,98,RU,1579657754,95,67.63,134.63,-26.68,2.04
96,georgetown,20,MY,1579657754,74,5.41,100.34,82.4,4.7
97,san patricio,96,ML,1579657647,23,13.3,-4.9,73.85,5.53
98,nome,90,US,1579657481,78,64.5,-165.41,8.6,6.93
99,ponta do sol,32,PT,1579657755,73,38.73,-28.27,54.37,13.11
100,morant bay,20,JM,1579657755,78,17.9,-76.43,80.6,1.12
103,jamestown,90,US,1579657750,85,42.1,-79.24,26.6,9.17
104,palmer,1,US,1579657488,44,42.16,-72.33,21.0,0.74
105,novyy urengoy,100,RU,1579657755,74,45.01,38.98,39.99,15.66
107,barrow,90,US,1579657502,77,71.29,-156.79,5.0,9.17
109,turtas,100,RU,1579657756,96,58.94,69.13,-3.33,9.26
110,aller,63,ES,1579657756,98,43.12,-5.58,48.0,17.22
112,thompson,90,CA,1579657756,85,55.74,-97.86,15.8,6.93
113,chokurdakh,85,RU,1579657756,98,70.63,147.92,-34.78,7.76
114,winneba,0,GH,1579657756,83,5.35,-0.62,82.4,3.36
115,cumanayagua,26,CU,1579657756,68,22.15,-80.2,64.4,8.05
118,menzelinsk,75,RU,1579657757,92,55.73,53.1,28.4,11.18
119,green river,18,US,1579657581,78,40.95,-81.48,21.2,3.36
120,mezen,2,RU,1579657488,90,65.85,44.24,18.27,11.81
121,hirara,75,JP,1579657475,68,24.8,125.28,73.4,11.41
122,upernavik,61,GL,1579657757,62,72.79,-56.15,1.67,4.36
124,clyde river,1,US,1579657470,73,41.3,-82.98,25.0,6.93
125,nyurba,100,RU,1579657757,98,63.28,118.33,-13.09,4.03
126,nanortalik,100,GL,1579657757,81,60.14,-45.24,26.42,20.29
127,cochrane,75,CA,1579657757,84,51.18,-114.47,36.0,4.7
128,marsabit,16,KE,1579657758,29,2.33,37.99,79.27,10.09
129,valley city,100,US,1579657634,98,45.13,-116.13,26.92,7.58
130,cherskiy,100,RU,1579657502,97,68.75,161.3,-20.67,7.27
132,williams lake,75,CA,1579657758,74,52.14,-122.14,35.6,16.11
133,aktas,75,KZ,1579657758,85,49.78,72.96,17.6,22.37
134,beidao,22,CN,1579657512,62,34.57,105.89,38.03,0.96
135,blagodatnoye,75,RU,1579657758,86,45.4,42.59,30.2,29.08
136,bida,16,NG,1579657759,25,9.08,6.02,75.31,6.76
138,tamiahua,41,MX,1579657759,78,21.27,-97.45,65.39,4.27
139,ranong,75,TH,1579657759,74,9.97,98.63,82.4,4.7
141,tilichiki,46,RU,1579657759,89,60.47,166.1,-16.38,8.32
144,afikpo,100,NG,1579657759,88,5.89,7.94,74.35,4.23
145,monte alegre,75,FR,1579657759,87,42.47,9.39,55.0,5.82
146,dingle,65,PH,1579657470,79,11.0,122.67,78.76,14.58
148,portland,90,US,1579657735,87,45.52,-122.68,48.0,6.93
149,buchanan,75,LR,1579657760,94,5.88,-10.05,77.0,1.1
152,mount gambier,40,GB,1579657760,100,53.66,-1.85,46.99,16.11
153,lindon,90,US,1579657760,96,40.34,-111.72,39.0,3.11
154,yatou,1,CN,1579657760,65,37.15,122.38,54.0,5.99
155,ligayan,44,PH,1579657760,73,4.65,119.47,81.64,12.95
156,yellowknife,20,CA,1579657598,76,62.46,-114.35,-9.0,8.05
157,tasiilaq,100,GL,1579657580,85,65.61,-37.64,23.0,40.26
158,san antonio,96,ML,1579657502,23,13.3,-4.9,73.85,5.53
159,thinadhoo,100,MV,1579657761,79,0.53,72.93,83.3,17.45
160,provideniya,90,RU,1579657761,78,64.38,-173.3,10.4,4.47
161,kysyl-syr,97,RU,1579657761,95,63.9,122.76,-19.86,6.71
162,lokomotivnyy,99,RU,1579657761,93,53.01,60.57,14.29,16.42
164,jubbal,0,IN,1579657761,77,31.12,77.67,33.44,3.76
166,kenai,90,US,1579657486,62,60.55,-151.26,24.8,4.97
167,solnechnyy,21,RU,1579657761,86,50.72,136.63,4.23,3.4
169,aberdeen,75,GB,1579657761,100,57.14,-2.1,50.0,2.24
170,ust-nera,100,RU,1579657762,99,64.57,143.2,-32.13,2.84
171,sao jose da coroa grande,59,IN,1579657762,55,20.51,76.21,71.94,16.69
172,liverpool,90,GB,1579657762,100,53.41,-2.98,46.99,5.82
173,essau,100,GM,1579657762,73,13.48,-16.53,71.6,8.19
176,chalons-en-champagne,0,FR,1579657762,100,48.95,4.37,27.0,6.93
178,ribeira grande,0,ES,1579657762,70,42.75,-8.44,52.0,13.87
180,kulaman,0,PH,1579657763,54,6.46,124.09,81.59,6.64
182,krasnoselkup,100,RU,1579657660,95,65.7,82.47,-7.35,17.49
183,lompoc,1,US,1579657763,81,34.64,-120.46,57.2,6.93
186,dudinka,100,RU,1579657763,74,69.41,86.18,-23.8,8.95
189,sao joao da barra,59,IN,1579657764,55,20.51,76.21,71.94,16.69
190,gien,0,FR,1579657764,91,47.69,2.63,30.0,5.5
192,pedernales,78,DO,1579657764,96,18.04,-71.74,65.91,2.57
193,makakilo city,75,US,1579657602,57,21.35,-158.09,80.6,10.29
194,east london,40,IS,1579657764,86,65.0,-15.0,28.4,2.24
195,mecca,0,SA,1579657764,71,21.43,39.83,57.16,5.64
196,lipin bor,85,PL,1579657764,89,52.93,15.12,39.99,15.12
197,synya,100,RU,1579657765,89,65.37,58.04,18.61,9.66
198,pestyaki,94,RU,1579657765,81,56.71,42.67,29.86,13.24
200,amazar,5,RU,1579657765,91,53.86,120.88,-11.06,2.51
201,moose factory,90,US,1579657765,97,43.66,-110.72,33.8,3.38
203,north bend,38,FR,1579657737,100,50.33,3.67,30.99,2.24
204,bethel,1,US,1579657610,66,41.37,-73.41,28.99,3.13
206,nikolskoye,81,RU,1579657765,69,59.7,30.79,36.0,17.9
207,najran,0,SA,1579657765,40,17.49,44.13,53.6,4.76
208,champerico,0,GT,1579657766,72,14.3,-91.92,75.87,5.73
209,buraydah,0,SA,1579657766,75,26.33,43.98,46.4,12.75
211,arlit,17,NE,1579657766,17,18.74,7.39,68.04,15.73
214,safaga,0,EG,1579657766,57,26.73,33.94,51.8,18.34
215,longyearbyen,40,SJ,1579657766,65,78.22,15.64,5.0,11.41
216,korla,100,CN,1579657766,82,41.76,86.15,21.99,2.75
217,havoysund,75,NO,1579657616,58,71.0,24.66,28.4,35.57
218,ottersberg,90,DE,1579657767,93,53.1,9.15,39.99,9.17
220,mannargudi,77,IN,1579657767,83,10.67,79.43,75.61,12.35
221,tiksi,76,RU,1579657767,90,71.69,128.87,-25.53,4.32
222,kurchum,100,KZ,1579657767,94,48.57,83.65,18.7,13.76
223,chapais,90,CA,1579657767,92,49.78,-74.85,14.0,8.05
224,severo-kurilsk,83,RU,1579657767,75,50.68,156.12,18.63,10.25
225,asosa,11,ET,1579657767,33,10.07,34.53,61.38,7.31
226,nizwa,0,OM,1579657767,86,22.93,57.53,53.24,3.78
227,uyemskiy,90,RU,1579657767,100,64.47,40.85,28.4,8.95
228,svetlogorsk,100,BY,1579657767,89,52.63,29.73,36.72,18.34
229,alvand,95,IR,1579657768,94,36.32,49.17,16.93,4.43
230,fort nelson,90,NL,1579657768,100,52.65,6.39,41.0,9.17
232,sao gabriel da cachoeira,59,IN,1579657768,55,20.51,76.21,71.94,16.69
233,avera,1,US,1579657768,48,33.19,-82.53,35.6,4.7
234,olafsvik,100,IS,1579657768,94,64.89,-23.71,42.26,31.05
235,manica,0,FR,1579657768,100,49.0,-1.17,30.99,4.92
236,balaipungut,20,ID,1579657768,100,1.05,101.28,77.0,4.43
237,novopokrovka,90,UA,1579657768,93,49.84,36.55,35.6,15.66
238,xixiang,100,CN,1579657769,60,35.16,112.86,43.2,6.62
239,syamzha,100,RU,1579657769,88,60.02,41.06,27.05,13.27
240,borger,90,NL,1579657769,100,52.92,6.79,41.0,9.17
241,corinto,20,GR,1579657769,42,37.94,22.96,46.4,6.93
242,mindelo,20,CV,1579657769,77,16.89,-24.98,69.8,11.41
243,ati,0,TD,1579657769,19,13.22,18.34,61.45,10.67
244,campbeltown,97,GB,1579657769,100,55.43,-5.61,48.99,2.24
246,salalah,20,OM,1579657532,72,17.02,54.09,68.0,2.24
248,nioro,100,GM,1579657770,19,13.35,-15.75,74.59,4.0
249,linfen,100,CN,1579657739,63,36.09,111.52,36.77,3.65
250,umba,3,RU,1579657770,80,66.69,34.34,25.74,20.67
251,bacungan,20,PH,1579657770,66,9.91,118.7,84.2,11.41
252,jimo,7,CN,1579657770,70,36.39,120.46,55.0,2.24
253,sao felix do xingu,59,IN,1579657764,55,20.51,76.21,71.94,16.69
255,macheng,100,CN,1579657683,92,31.18,115.03,41.4,4.45
256,ponte nova,13,PT,1579657770,66,41.47,-8.33,50.0,4.7
257,inirida,0,CO,1579657770,95,3.87,-67.92,75.74,1.9
258,kutum,0,SD,1579657770,46,14.2,24.67,41.97,4.34
260,shimoda,40,JP,1579657771,50,34.67,138.95,52.0,3.36
261,tres arroyos,100,IT,1579657771,51,46.32,11.1,39.0,4.21
262,hemnesberget,48,NO,1579657771,85,66.23,13.63,26.94,11.95
263,atar,24,MR,1579657771,42,20.52,-13.05,58.42,7.56
264,puerto penasco,90,ES,1579657771,81,36.59,-6.23,48.2,3.36
265,lulea,0,SE,1579657771,68,65.58,22.15,30.2,17.22
267,san nicolas,96,ML,1579657502,23,13.3,-4.9,73.85,5.53
268,marawi,52,PH,1579657624,68,8.0,124.29,79.0,7.0
269,maneadero,4,MX,1579657772,89,31.72,-116.57,57.99,1.01
270,temir,97,KZ,1579657772,93,49.14,57.13,21.74,17.07
272,iqaluit,20,CA,1579657483,61,63.75,-68.51,-23.01,12.75
273,marzuq,15,YE,1579657772,86,14.4,46.47,55.89,5.73
274,baruun-urt,100,MN,1579657772,80,46.68,113.28,10.35,6.89
277,saskylakh,15,RU,1579657772,95,71.92,114.08,-33.39,6.6
278,dikson,100,RU,1579657772,86,73.51,80.55,-12.28,11.36
279,ostrovnoy,100,RU,1579657773,92,68.05,39.51,26.56,29.01
280,grand gaube,90,US,1579657765,100,38.88,-109.5,30.0,4.56
281,quchan,0,IR,1579657773,77,37.11,58.51,13.73,2.77
282,verkhnyaya inta,100,RU,1579657773,84,60.98,40.21,27.86,13.51
283,zhigalovo,100,RU,1579657773,88,54.81,105.16,-4.56,10.87
285,maba,93,CN,1579657773,71,24.68,113.6,66.43,4.25
286,zhigansk,100,RU,1579657774,97,66.77,123.37,-27.42,7.52
287,kinablangan,56,PH,1579657774,69,7.69,126.55,79.5,6.73
288,kyzyl-suu,100,KG,1579657774,63,42.34,78.0,20.98,8.93
289,lavrentiya,100,RU,1579657774,96,65.58,-171.0,1.4,5.95
290,osa,100,RU,1579657774,95,57.28,55.46,26.71,12.44
291,guerrero negro,0,MX,1579657774,71,17.67,-100.0,54.01,1.34
292,terrace,75,CA,1579657774,92,54.52,-128.6,32.0,5.82
293,muros,0,ES,1579657774,70,42.78,-9.06,51.01,13.87
294,taitung,75,TW,1579657553,78,22.76,121.14,73.4,5.82
296,grand-lahou,83,CI,1579657481,83,5.14,-5.02,81.79,10.0
297,labytnangi,100,RU,1579657775,94,66.66,66.42,5.04,13.85
300,atasu,100,KZ,1579657775,93,48.68,71.64,11.64,16.31
301,kalmunai,64,LK,1579657516,81,7.42,81.82,81.57,19.17
304,hamilton,1,US,1579657593,79,39.18,-84.53,25.0,2.15
305,katsuura,75,JP,1579657655,52,35.13,140.3,46.0,10.29
306,nikolsk,100,RU,1579657776,98,53.72,46.07,33.57,14.88
307,klaksvik,98,FO,1579657611,93,62.23,-6.59,42.8,6.93
308,arys,90,KZ,1579657776,86,42.43,68.8,30.2,2.24
309,itoman,75,JP,1579657776,64,26.12,127.67,69.8,8.05
312,sibolga,0,ID,1579657776,63,1.74,98.78,83.84,3.78
314,bonthe,95,SL,1579657776,84,7.53,-12.51,78.22,4.32
315,barrie,97,CA,1579657601,85,44.4,-79.67,24.01,1.99
316,mantua,100,IT,1579657777,86,45.17,10.78,37.0,4.7
317,juegang,100,CN,1579657777,66,32.32,121.19,57.0,0.29
320,srednekolymsk,100,RU,1579657612,98,67.45,153.68,-23.98,8.79
322,aktau,90,KZ,1579657777,86,43.65,51.2,33.8,13.42
324,ponazyrevo,96,RU,1579657777,93,58.36,46.31,29.55,14.41
326,gorbanesti,5,RO,1579657778,64,47.78,26.85,36.0,11.41
328,kavaratti,33,IN,1579657778,79,10.57,72.64,82.11,10.83
329,grong,100,NO,1579657778,91,64.47,12.31,35.01,5.99
330,basco,34,PH,1579657778,72,20.45,121.97,76.66,20.8
331,barstow,1,US,1579657778,44,34.9,-117.02,60.8,12.75
332,vestmannaeyjar,100,IS,1579657778,92,63.44,-20.27,44.87,22.93
333,aqtobe,75,KZ,1579657778,92,50.28,57.21,26.6,22.37
334,kjollefjord,100,NO,1579657778,85,70.95,27.35,21.79,29.37
335,beringovskiy,0,RU,1579657535,99,63.05,179.32,-10.17,11.61
336,germenchik,78,RU,1579657779,58,43.59,43.77,26.6,8.95
338,hobyo,91,SO,1579657494,78,5.35,48.53,75.88,14.12
339,batsfjord,100,NO,1579657779,93,70.63,29.72,18.34,27.11
340,yar-sale,100,RU,1579657779,92,66.83,70.83,5.22,18.59
342,raudeberg,100,NO,1579657779,62,61.99,5.14,42.8,20.8
343,san cristobal,96,ML,1579657502,23,13.3,-4.9,73.85,5.53
344,oytal,100,KZ,1579657779,87,42.91,73.27,26.24,4.18
345,ushibuka,99,JP,1579657780,69,32.19,130.02,57.6,16.02
346,mayo,1,US,1579657545,54,38.89,-76.51,30.99,5.82
347,aldan,4,RU,1579657780,71,58.6,125.39,-6.52,9.06
348,gistrup,67,DK,1579657780,86,56.99,9.99,43.0,7.0
350,mason city,1,US,1579657510,100,39.36,-84.31,25.0,3.53
351,grand-santi,26,GF,1579657780,92,4.25,-54.38,71.31,4.16
352,sakakah,0,SA,1579657780,80,29.97,40.21,39.2,12.75
353,kribi,100,CM,1579657780,87,2.95,9.92,78.37,3.67
354,petropavlovsk-kamchatskiy,0,RU,1579657780,60,53.05,158.65,6.8,4.47
356,starkville,1,US,1579657680,74,33.45,-88.82,33.01,3.91
357,saint-augustin,0,CA,1579657781,74,51.23,-58.65,4.91,11.63
358,tessalit,75,ML,1579657781,22,20.2,1.01,66.96,12.88
359,holme,95,DK,1579657781,87,56.11,10.17,42.8,19.46
360,jay,90,US,1579657781,61,44.5,-70.22,15.8,3.36
361,durango,32,MX,1579657781,66,24.83,-104.83,53.51,6.69
362,rio gallegos,0,GR,1579657781,92,38.3,21.78,32.0,3.49
363,pascagoula,1,US,1579657781,64,30.37,-88.56,39.2,6.49
365,cilibia,12,RO,1579657781,60,45.07,27.07,30.72,9.89
366,college,90,US,1579657781,68,64.86,-147.8,-8.0,0.85
367,pangnirtung,100,CA,1579657782,99,66.15,-65.71,-28.37,3.74
368,altay,100,CN,1579657782,92,47.87,88.12,5.85,2.68
369,dzhebariki-khaya,100,RU,1579657782,96,62.22,135.8,-16.37,1.97
371,dali,0,CN,1579657782,61,25.7,100.18,48.16,4.0
373,itaunja,90,IN,1579657782,100,27.08,80.92,42.8,4.09
375,edd,7,ER,1579657783,83,13.93,41.69,72.88,2.71
376,sidi ali,52,CF,1579657783,24,5.08,19.88,63.82,3.22
377,kahului,40,US,1579657783,48,20.89,-156.47,82.4,14.99
378,suzhou,75,CN,1579657783,93,31.31,120.62,53.01,4.47
379,san francisco,96,ML,1579657647,23,13.3,-4.9,73.85,5.53
380,cayenne,100,GF,1579657522,88,4.93,-52.33,75.2,3.36
381,baglung,0,NP,1579657783,23,28.27,83.59,38.07,4.16
382,saint-louis,100,SN,1579657783,13,16.33,-15.0,72.39,8.61
383,torit,100,SS,1579657783,37,4.41,32.57,73.76,4.07
385,hauterive,81,FR,1579657783,92,46.09,3.45,30.99,1.12
386,lasa,100,IT,1579657623,78,46.62,10.7,33.01,2.24
388,hillsborough,90,US,1579657784,87,37.57,-122.38,57.2,14.99
389,bemidji,1,US,1579657508,79,47.47,-94.88,21.2,10.29
390,berbera,0,SO,1579657784,66,10.44,45.01,74.48,8.23
392,zahir pir,96,YE,1579657784,95,13.97,45.48,54.46,5.41
393,yuzhno-kurilsk,31,RU,1579657784,65,44.03,145.86,29.5,15.32
395,vardo,100,NO,1579657670,81,70.37,31.11,26.78,35.03
396,pereira barreto,40,CO,1579657757,88,4.81,-75.7,69.8,8.05
397,sao filipe,59,IN,1579657764,55,20.51,76.21,71.94,16.69
398,leh,100,IN,1579657785,84,34.17,77.58,-9.44,4.07
400,glazov,99,RU,1579657785,98,58.14,52.66,29.34,7.45
401,naryan-mar,100,RU,1579657785,96,67.67,53.09,20.48,7.65
402,baykit,0,RU,1579657785,94,61.67,96.37,-33.0,2.68
403,santona,90,ES,1579657786,93,43.44,-3.46,46.99,2.24
404,saint-denis,16,FR,1579657786,92,48.92,2.33,33.01,5.79
405,pithora,64,IN,1579657786,50,21.27,82.52,69.17,3.67
406,nuuk,90,GL,1579657786,73,64.18,-51.72,24.8,20.8
410,charters towers,1,US,1579657786,58,38.57,-83.43,26.6,4.7
411,ballangen,90,NO,1579657786,92,68.34,16.83,32.0,16.11
412,sitka,90,US,1579657786,93,57.05,-135.33,37.4,3.36
413,altagracia de orituco,8,NI,1579657787,77,11.57,-85.58,80.49,22.64
414,okha,7,RU,1579657671,86,53.57,142.95,-1.08,11.5
415,husavik,20,IS,1579657787,74,66.04,-17.34,37.4,13.87
416,watrous,0,CA,1579657787,81,51.67,-105.47,21.29,8.84
417,lotoshino,100,RU,1579657787,80,56.23,35.64,30.78,13.44
418,nantucket,1,US,1579657499,79,41.28,-70.1,26.6,6.93
419,pakxe,85,LA,1579657787,69,15.12,105.78,75.2,6.93
420,porto ferreira,63,PT,1579657535,57,41.15,-8.61,55.99,4.7
422,sokolo,67,ML,1579657787,16,14.73,-6.12,74.64,8.88
423,kodiak,75,US,1579657787,68,57.79,-152.41,30.2,4.7
426,morlaix,19,FR,1579657788,86,48.58,-4.0,39.2,8.05
427,toba,40,JP,1579657788,48,34.48,136.85,45.0,10.29
431,kodinsk,0,RU,1579657788,91,58.69,99.18,-20.92,5.19
433,urumqi,89,CN,1579657503,85,43.8,87.6,21.99,2.24
434,roma,90,US,1579657756,79,43.21,-75.46,25.0,7.18
436,manjeshwar,26,IN,1579657789,60,12.72,74.89,75.2,5.82
437,mount isa,40,GB,1579657789,100,53.66,-1.85,46.99,16.11
438,tura,0,IN,1579657789,56,25.52,90.22,64.27,3.11
439,san quintin,96,ML,1579657502,23,13.3,-4.9,73.85,5.53
440,kisangani,91,CD,1579657789,61,0.52,25.2,67.95,1.43
441,goderich,100,CA,1579657789,78,43.75,-81.72,30.99,3.0
443,ler,55,SS,1579657789,16,8.3,30.14,64.35,8.41
444,diffa,0,NE,1579657789,34,13.32,12.61,62.89,12.26
445,akdepe,90,TM,1579657789,86,42.06,59.38,28.4,11.41
446,esqueda,100,MX,1579657790,85,30.72,-109.58,46.69,3.85
447,rantauprapat,30,ID,1579657790,86,2.1,99.83,80.8,4.38
448,nizhnyaya salda,100,RU,1579657790,95,63.47,41.61,26.65,3.98
449,pyinmana,10,MM,1579657790,39,19.73,96.22,79.95,1.83
450,nakamura,85,JP,1579657790,64,32.98,132.93,55.26,3.58
452,baijiantan,100,CN,1579657790,88,45.63,85.18,10.58,3.89
453,leningradskiy,100,RU,1579657790,96,69.38,178.42,-11.27,7.09
454,cocobeach,75,GA,1579657790,83,1.0,9.58,84.2,4.7
455,tondano,40,ID,1579657790,70,1.3,124.91,86.0,4.7
456,honningsvag,100,NO,1579657790,82,70.98,25.97,25.39,32.57
457,kungsbacka,67,SE,1579657791,80,57.49,12.08,45.0,12.75
458,belyy yar,100,RU,1579657791,78,55.84,32.94,31.19,9.69
459,yuancheng,67,CN,1579657791,56,36.65,107.79,29.39,2.55
460,oktyabrskoye,80,RU,1579657791,42,43.06,44.74,28.47,2.73
461,santa isabel do rio negro,0,PH,1579657780,48,17.49,120.43,81.1,3.11
462,smithers,75,CA,1579657682,100,54.78,-127.17,24.8,2.24
463,whitehorse,90,CA,1579657524,78,60.72,-135.05,10.4,8.05
466,zarand,26,IR,1579657791,83,30.81,56.56,32.14,4.34
467,ludvika,46,SE,1579657792,55,60.15,15.19,37.99,16.11
468,estelle,1,US,1579657792,56,29.85,-90.11,46.4,3.36
469,teknaf,24,BD,1579657792,34,20.86,92.31,69.85,1.54
470,raga,54,SS,1579657792,25,8.46,25.68,55.26,6.11
471,paamiut,100,GL,1579657792,69,61.99,-49.67,24.75,22.08
472,acajutla,0,SV,1579657792,68,13.59,-89.83,69.01,5.99
474,handan,41,CN,1579657792,59,36.6,114.47,38.88,5.88
475,asau,0,RO,1579657598,72,46.43,26.4,32.0,6.93
477,fukuma,75,JP,1579657793,66,33.77,130.47,48.99,5.82
479,acatlan,52,MX,1579657793,93,20.15,-98.45,44.26,6.08
480,arrecife,1,ES,1579657793,71,28.96,-13.55,55.4,2.24
481,verkhovyna,0,UA,1579657793,85,48.16,24.79,22.03,6.85
482,iralaya,1,HN,1579657793,80,15.0,-83.23,78.19,25.39
483,wamba,87,NG,1579657794,29,8.93,8.6,70.57,4.85
484,wagar,0,SD,1579657794,90,16.15,36.2,56.86,12.1
485,locri,40,IT,1579657794,76,38.24,16.26,55.99,4.7
487,riyadh,0,SA,1579657794,33,24.69,46.72,59.0,16.11
488,margate,96,GB,1579657794,85,51.38,1.39,41.0,4.7
489,aksarayskiy,90,RU,1579657794,80,46.79,48.01,30.2,17.9
490,shingu,40,JP,1579657794,50,33.73,135.98,51.8,3.36
491,kulhudhuffushi,63,MV,1579657795,74,6.62,73.07,83.73,18.88
492,anloga,20,GH,1579657795,78,5.79,0.9,82.4,2.24
495,nokha,0,IN,1579657795,58,27.6,73.42,54.66,9.15
496,dafeng,100,CN,1579657795,81,23.45,108.59,66.7,7.43
499,glace bay,1,US,1579657795,73,37.68,-80.34,30.2,2.19
500,zhezkazgan,90,KZ,1579657795,92,47.8,67.71,17.6,17.9
501,kota belud,41,IN,1579657796,65,25.18,75.83,54.34,5.53
502,shostka,100,UA,1579657796,91,51.86,33.47,36.97,16.67
503,lynden,90,US,1579657796,81,48.95,-122.45,46.99,10.29
504,linjiang,87,CN,1579657796,91,41.81,126.91,21.83,5.1
505,bella vista,5,IT,1579657796,7,40.76,15.54,42.01,4.7
506,portsmouth,90,GB,1579657543,93,50.8,-1.09,35.6,3.36
507,mbandaka,93,CD,1579657796,57,0.05,18.26,71.8,0.34
508,verkhnevilyuysk,100,RU,1579657796,95,63.45,120.32,-10.59,5.75
509,matay,21,EG,1579657796,87,28.42,30.78,42.8,6.6
510,mogadishu,0,SO,1579657796,82,2.04,45.34,79.81,24.49
511,puerto escondido,90,ES,1579657751,81,36.59,-6.23,48.2,3.36
512,gornyy,0,RU,1579657797,94,55.12,83.91,-0.62,6.93
513,laguna,90,US,1579657706,82,38.42,-121.42,59.0,8.05
514,rio grande,0,GR,1579657781,92,38.3,21.78,32.0,3.49
515,gravdal,40,NO,1579657797,59,68.12,13.5,37.4,13.87
516,jalu,0,LY,1579657797,72,29.03,21.55,49.3,6.69
517,tahe,5,CN,1579657797,81,52.33,124.73,-1.16,3.65
518,nenjiang,0,CN,1579657797,81,49.18,125.22,-0.51,4.9
